Question,AMBITIOUS,CYNICAL,ATHLETIC,KINKY,NERDY,CULTURED,POLITICAL,ROMANTIC,SOCIAL,TWISTED,CREATIVE,BORING,MATCHREADY
(1) Which World Cup team describes your sex life?,,,,,,,,,,,,,
(A) Germany: ruthless and efficient,0,0,2,0,0,0,0,0,0,1,0,0,0
(B) Brazil: absolutely destroyed,0,1,1,1,0,0,0,0,0,0,0,0,0
(C) Costa Rica: tiny but formiddable,-1,0,1,0,0,0,0,0,0,0,0,1,0
(D) America: a lot of bravado for a little bit of show,0,0,1,0,0,0,1,0,0,0,0,0,0
"(E) North Korea: not even playing, but you lie about all your wins",-1,0,0,0,0,0,1,0,-1,1,0,0,0
(2) What highly infectious disease describes your sex life?,,,,,,,,,,,,,
"(A) Ebola: hot, messy, and causing worldwide panic.",0,1,0,1,0,1,0,0,0,1,0,0,0
(B) Black Plague: I've been inside of everybody in Europe,0,0,0,1,0,0,0,0,1,0,0,0,0
(C) Influenza: spend all of my time in bed leaking fluids,0,0,0,0,0,0,0,0,0,0,0,0,0
(D Chicken pox: I got that out of my system when I was a kid.,0,0,0,1,0,0,0,0,0,1,0,0,0
(E) Yellow fever.,0,0,0,0,0,0,0,0,0,0,0,0,0
(3) What's your favorite number?,,,,,,,,,,,,,
(A) 3.1415926535....,0,0,0,0,2,0,0,0,0,0,0,0,0
(B) 69,0,0,0,1,-1,0,0,-1,0,0,0,0,0
(C) CS50,0,0,0,0,1,0,0,0,0,0,0,0,0
(D) $1.16 billion and counting,2,1,0,0,0,0,1,0,0,0,0,0,0
"(E) I don't know. Why don't you give me your number, and we can figure something out?",1,0,0,0,0,0,0,1,1,0,0,0,0
(4) My beliefs hew toward those of the ______ party.,,,,,,,,,,,,,
(A) Democratic,1,0,0,0,0,0,2,0,0,0,0,0,0
(B) Republican,1,0,0,0,0,0,2,0,0,0,0,0,0
(C) Sigma Chi,0,0,0,0,0,0,0,0,2,0,0,0,0
(D) pizza,0,0,0,0,0,0,0,0,1,0,0,1,0
(E) pset,0,0,0,0,2,0,0,0,-1,0,0,0,0
(5) What's your mobile app of choice?,,,,,,,,,,,,,
(A) Tinder: Constantly having sex.,0,0,0,2,0,0,0,-2,2,0,0,0,0
(B) Yik Yak: Bragging about constantly having sex.,1,0,0,1,0,0,0,0,1,0,0,0,0
(C) Uber: Getting home from constantly having sex.,0,0,0,1,0,0,0,0,1,0,0,0,0
(D) Vine: Videos of you constantly having sex--full length.,0,1,0,0,0,0,0,0,1,0,0,0,0
(E) Clash of Clans: This is why you're never having sex.,-2,0,0,0,1,0,0,0,0,0,0,1,0
(6) What poem would you recite to your love to prove your ardor and Harvard erudition?,,,,,,,,,,,,,
(A) How do I love thee? Let me count the ways. / I love thee to the depth and breadth and GPA,0,0,0,0,1,1,0,1,0,0,0,0,0
(B) Had we but world enough and time / This coyness surely were no crime / But at my back I always hear / Section's winged chariot hurring near,0,2,0,0,1,1,0,1,0,0,0,0,0
(C) I carry your netflix password with me(i carry it in / my laptop)i am never without it,0,0,0,0,0,2,0,0,0,0,0,1,0
(D) Come live with me and be my lab partner / And we will all the theorems prove,0,0,0,0,2,1,0,1,0,0,0,0,0
(E) Rose are red / violets are blue / I don't know how to rhyme / Wanna hook up?,0,1,0,1,0,-2,0,0,1,1,0,1,0
(7) Who is your ideal celebrity SO?,,,,,,,,,,,,,
(A) Chris Pratt: he can guard my galaxy any day,0,0,0,1,1,1,0,0,0,0,0,1,0
(B) Amy Poehler: check out those Golden Globes,0,0,0,1,1,1,0,0,0,0,0,1,0
(C) Kim Jong Un: Glorious Leader is Number One SO.,0,0,0,0,0,0,1,0,0,1,0,0,0
(D) Dean Khurana: holistically synergize a dynamic relationship-centered infrastructure.,1,1,0,0,0,0,0,0,0,0,0,0,0
(E) Palmela Handerson: the cousin of Jill.,-1,0,0,0,0,0,0,-1,0,0,0,0,0
(8) Who is your ideal fictional SO?,,,,,,,,,,,,,
(A) Cersei Lannister: I love her like a sister.,0,0,0,0,1,1,0,0,0,2,0,0,0
(B) Walter White: I'm absolutely addicted to him.,0,0,0,0,0,1,0,0,0,1,0,0,0
"(C) Smaug the dragon: mature, wealthy, and smolderingly hot.",0,0,0,0,1,1,0,0,0,0,0,1,0
(D) Olaf the snowman: cool as ice and you'll melt his heart.,0,0,0,0,0,1,0,1,0,0,0,1,0
(E) All my SOs are fictional.,-1,1,0,0,0,0,0,-1,0,0,0,0,0
(9) Your favorite sport is...,,,,,,,,,,,,,
(A) Football,0,0,2,0,0,0,0,0,0,0,0,1,0
(B) Fantasy football,0,0,1,0,0,0,0,0,0,0,0,0,0
(C) Beating Yale,1,0,0,0,0,0,0,0,0,0,0,0,0
(D) Beer pong,0,0,0,0,0,0,0,0,2,0,0,0,0
(E) Super Smash Bros.,0,0,0,0,1,0,0,0,0,0,0,0,0
(10) What was responsible for your last sleepless night?,,,,,,,,,,,,,
